step,loss,r1,r2,kl1,kl2
69,0.6924922466278076,4.781548023223877,3.5870039463043213,12.1328125,17.5
0,2.1277663707733154,5.066042900085449,0.5563633441925049,3.58984375,11.703125
70,0.13494201004505157,3.221700429916382,3.5620675086975098,11.9609375,11.9921875
71,0.8229132294654846,3.8155393600463867,1.1376367807388306,19.3125,13.1171875
1,0.20531295239925385,4.416821002960205,5.0200724601745605,13.9140625,14.8125
72,1.6456364393234253,4.14744758605957,1.5831331014633179,15.234375,30.75
2,1.491884708404541,3.2226192951202393,-0.43280795216560364,16.015625,16.765625
73,0.46643272042274475,1.0931726694107056,0.40922796726226807,12.59375,17.421875
3,2.504946231842041,-1.027060866355896,5.1206231117248535,12.984375,11.828125
74,2.104466199874878,-2.046520709991455,3.2061636447906494,13.6328125,13.5390625
75,0.9447757601737976,4.948851585388184,2.6166088581085205,13.1953125,13.5
4,0.09231124818325043,4.4773030281066895,4.587043762207031,18.109375,16.890625
5,2.0271923542022705,4.224588871002197,-1.0360361337661743,14.5390625,12.625
76,0.28129079937934875,3.665553569793701,4.09746789932251,19.046875,16.328125
77,0.7858573794364929,0.9504519104957581,-1.6181868314743042,18.59375,12.5625
6,1.966939091682434,2.5519309043884277,-2.4398601055145264,13.484375,12.7578125
78,1.9334321022033691,-0.16488856077194214,4.880809783935547,14.28125,16.390625
7,0.3112759590148926,4.108030796051025,4.710629463195801,15.328125,13.5703125
79,0.13956132531166077,4.57954216003418,4.25692081451416,14.34375,14.609375
8,0.12055714428424835,4.24480676651001,3.896465301513672,15.03125,14.5625
80,0.06285601109266281,3.736665725708008,3.2054638862609863,18.234375,14.4921875
9,1.8440226316452026,0.9481873512268066,-3.353424549102783,12.484375,15.578125
81,0.25106334686279297,2.7883033752441406,3.4463884830474854,13.375,13.6796875
10,0.9459096789360046,1.3388947248458862,3.4366683959960938,15.0625,12.3828125
82,1.3682870864868164,-0.7038640379905701,2.641517162322998,12.8671875,12.109375
11,1.2764298915863037,-1.8257781267166138,1.648302435874939,13.9921875,16.8125
83,1.8065475225448608,0.30419543385505676,4.824596881866455,13.8515625,13.875
12,0.1378689706325531,3.894918441772461,4.126393795013428,13.609375,12.4765625
84,2.331685781478882,-4.419728755950928,1.9138388633728027,14.3671875,19.390625
85,2.062919855117798,5.019084453582764,0.299979031085968,17.265625,21.65625
13,0.36539843678474426,-2.5457067489624023,-3.011183977127075,12.078125,16.5625
86,0.4442116320133209,-3.269021987915039,-2.24513578414917,14.0390625,13.171875
14,0.2753964364528656,4.658679962158203,3.8333020210266113,15.8125,14.4453125
87,1.6434524059295654,1.90819251537323,-2.808863639831543,21.078125,15.0
15,2.281193494796753,4.579165935516357,-0.9543118476867676,16.703125,18.40625
88,0.3331166207790375,-2.1641006469726562,-2.9785408973693848,12.9609375,13.140625
16,1.8104746341705322,-2.3031787872314453,2.2846598625183105,12.671875,13.28125
89,1.0079350471496582,2.782193660736084,1.513693928718567,12.71875,25.234375
17,1.073354721069336,2.250420093536377,5.059462070465088,13.578125,14.828125
90,0.8637834787368774,3.956230640411377,1.720072627067566,16.453125,15.6953125
18,0.03538784012198448,2.0061237812042236,2.2039899826049805,12.9453125,14.046875
91,0.5478559732437134,3.101123094558716,4.522855281829834,13.578125,14.09375
92,1.2292472124099731,3.3149220943450928,5.225948810577393,15.3203125,3.693359375
19,0.7978148460388184,4.943230152130127,2.9716434478759766,12.234375,12.46875
93,0.09701433777809143,0.44419926404953003,0.45437249541282654,23.765625,21.4375
20,0.06968284398317337,4.570405006408691,4.607935905456543,16.34375,14.984375
94,0.10023606568574905,4.6139397621154785,5.022794246673584,13.875,15.4609375
21,0.6703369617462158,-1.042497992515564,0.7060191631317139,12.96875,13.6953125
95,0.1693395972251892,2.513066291809082,2.057387351989746,14.40625,14.078125
22,0.5574750304222107,4.716618061065674,3.3831369876861572,14.296875,14.90625
96,2.3719730377197266,-1.4737833738327026,4.275956630706787,16.90625,15.0859375
23,2.6569669246673584,-2.733476161956787,3.9388833045959473,12.8359375,13.1171875
